primary_key	SOFTREQ (foreign key)
OpenLIFU-app#13	SlicerOpenLIFU#10
OpenLIFU-app#14	SlicerOpenLIFU#6
OpenLIFU-app#16	OpenLIFU-python#338
OpenLIFU-app#20	SlicerOpenLIFU#22
OpenLIFU-app#21	SlicerOpenLIFU#34
OpenLIFU-app#22	SlicerOpenLIFU#6
OpenLIFU-app#25	SlicerOpenLIFU#6
OpenLIFU-app#33	SlicerOpenLIFU#10
OpenLIFU-app#36	OpenLIFU-python#65
OpenLIFU-app#37	OpenLIFU-python#338
OpenLIFU-app#5	OpenLIFU-python#337
OpenLIFU-app#8	SlicerOpenLIFU#393
OpenLIFU-python#103	OpenLIFU-python#59
OpenLIFU-python#104	OpenLIFU-python#72
OpenLIFU-python#105	OpenLIFU-python#72
OpenLIFU-python#106	OpenLIFU-python#337
OpenLIFU-python#107	OpenLIFU-python#71
OpenLIFU-python#108	SlicerOpenLIFU#35
OpenLIFU-python#111	OpenLIFU-python#338
OpenLIFU-python#114	OpenLIFU-python#54
OpenLIFU-python#119	OpenLIFU-python#54
OpenLIFU-python#120	OpenLIFU-python#54
OpenLIFU-python#121	OpenLIFU-python#54
OpenLIFU-python#124	OpenLIFU-python#57
OpenLIFU-python#125	SlicerOpenLIFU#36
OpenLIFU-python#126	SlicerOpenLIFU#36
OpenLIFU-python#129	OpenLIFU-python#338
OpenLIFU-python#132	OpenLIFU-python#56
OpenLIFU-python#137	OpenLIFU-python#56
OpenLIFU-python#141	OpenLIFU-python#72
OpenLIFU-python#142	OpenLIFU-python#54
OpenLIFU-python#144	OpenLIFU-python#54
OpenLIFU-python#147	OpenLIFU-python#63
OpenLIFU-python#149	OpenLIFU-python#62
OpenLIFU-python#154	OpenLIFU-python#54
OpenLIFU-python#156	OpenLIFU-python#72
OpenLIFU-python#158	SlicerOpenLIFU#11
OpenLIFU-python#160	OpenLIFU-python#54
OpenLIFU-python#165	SlicerOpenLIFU#11
OpenLIFU-python#166	SlicerOpenLIFU#9
OpenLIFU-python#167	OpenLIFU-python#337
